label,woonplaats,addressId,straatnaam,huisletter,huisnummer,huisnummer_toevoeging,geo
Julianaweg 168 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071278,Julianaweg,,168,,POINT (5.1184562234355 52.064950447398)
Makassarstraat 93 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071307,Makassarstraat,,93,,POINT (5.0854961921779 52.092511050464)
Jekerstraat 45 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071404,Jekerstraat,,45,,POINT (5.1106689708856 52.078891206958)
Mendelssohnstraat 72 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071425,Mendelssohnstraat,,72,,POINT (5.0872385825406 52.086779574226)
Nieuwegracht 3 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071464,Nieuwegracht,,3,,POINT (5.1237051759104 52.089710420716)
Nieuwegracht 17 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071472,Nieuwegracht,,17,,POINT (5.1238013706605 52.089359391007)
Nieuwegracht 37 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071487,Nieuwegracht,,37,,POINT (5.1242354487266 52.088658221108)
Nieuwegracht 42 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071490,Nieuwegracht,,42,,POINT (5.1251817090407 52.0883299623)
Nieuwegracht 43 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071491,Nieuwegracht,,43,,POINT (5.1244762568698 52.088429643098)
Nieuwegracht 46 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071492,Nieuwegracht,,46,,POINT (5.1253742952375 52.088137587076)
Nieuwegracht 47 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071493,Nieuwegracht,,47,,POINT (5.1245633700671 52.08833914757)
Nieuwegracht 52 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071497,Nieuwegracht,,52,,POINT (5.1255327396807 52.087979784771)
Nieuwegracht 53 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071498,Nieuwegracht,,53,,POINT (5.124740193276 52.088145596781)
Nieuwegracht 58 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071501,Nieuwegracht,,58,,POINT (5.1258101444406 52.087746368764)
Raiffeisenlaan 18 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071522,Raiffeisenlaan,,18,,POINT (5.1267988665939 52.106755126993)
Raiffeisenlaan 46 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071549,Raiffeisenlaan,,46,,POINT (5.1276174718654 52.107994566513)
Molièrelaan 12 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071584,Molièrelaan,,12,,POINT (5.0850807494228 52.090975353601)
Molièrelaan 15 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071586,Molièrelaan,,15,,POINT (5.0853903671889 52.089325575901)
Molièrelaan 36 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071598,Molièrelaan,,36,,POINT (5.0857326559239 52.09042194558)
Pelmolenplantsoen 2 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071645,Pelmolenplantsoen,,2,,POINT (5.1219077102606 52.082049739298)
Pelmolenplantsoen 3 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071646,Pelmolenplantsoen,,3,,POINT (5.1219381212561 52.081999159909)
Pelmolenplantsoen 5 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071647,Pelmolenplantsoen,,5,,POINT (5.1220003088739 52.081898929951)
Pelmolenplantsoen 6 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071648,Pelmolenplantsoen,,6,,POINT (5.1220299062704 52.081850209239)
Pelmolenplantsoen 7 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071649,Pelmolenplantsoen,,7,,POINT (5.1220618600176 52.081797736803)
Prof. Pullelaan 5 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071750,Prof. Pullelaan,,5,,POINT (5.12947422118 52.105545757475)
Prof. Pullelaan 9 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071753,Prof. Pullelaan,,9,,POINT (5.1295302457921 52.105638870159)
Prof. Pullelaan 15 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071757,Prof. Pullelaan,,15,,POINT (5.1296116637314 52.105778425557)
Prof. Pullelaan 23 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071762,Prof. Pullelaan,,23,,POINT (5.1297485328601 52.106009528296)
Prof. Pullelaan 33 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071769,Prof. Pullelaan,,33,,POINT (5.1298687842707 52.106211608182)
Prof. Pullelaan 35 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071770,Prof. Pullelaan,,35,,POINT (5.1300124807945 52.106347398341)
Adriaen van Ostadelaan 17 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071810,Adriaen van Ostadelaan,,17,,POINT (5.1390353662864 52.08371480217)
Mendelssohnstraat 49 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071865,Mendelssohnstraat,,49,,POINT (5.0877354736979 52.0866482632)
Oudegracht 279 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000071972,Oudegracht,,279,,POINT (5.1218669864162 52.086169664175)
Poortstraat 71 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000072027,Poortstraat,,71,,POINT (5.1352699466956 52.098215424768)
Papaverstraat 31 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000072074,Papaverstraat,,31,,POINT (5.0969964573833 52.101322585708)
Papaverstraat 44 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000072087,Papaverstraat,,44,,POINT (5.0968843450933 52.101013498055)
Parkstraat 11 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000072100,Parkstraat,,11,,POINT (5.1292398253708 52.090644322042)
Burgemeester Reigerstraat 27 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000072137,Burgemeester Reigerstraat,,27,,POINT (5.1349609189475 52.089765218315)
Oudwijk 27 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000072214,Oudwijk,,27,,POINT (5.1405873140059 52.091172588054)
Oudwijk 29 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000072215,Oudwijk,,29,,POINT (5.1405750784704 52.091113097468)
Oudwijk 33 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000072216,Oudwijk,,33,,POINT (5.140553880473 52.091001250666)
Oudwijk 35 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000072217,Oudwijk,,35,,POINT (5.1405405200975 52.090942009387)
Oudwijk 41 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000072219,Oudwijk,,41,,POINT (5.1402635758697 52.090758657566)
